,gdp_per_capita,population,generated_kg_per_cap,collected_kg_per_cap,recycled_kg_per_cap,treatment_kg_per_cap,recovered_kg_per_cap
gdp_per_capita,1.0,-0.1287992742019911,0.36334034424194706,0.5342314292434343,0.4038253486292546,0.5380547198171658,0.4748337983512127
population,-0.1287992742019911,1.0,0.11708317932731002,-0.0216424485241732,0.06365388903447756,-0.016244320108322056,-0.01429162960054208
generated_kg_per_cap,0.36334034424194706,0.11708317932731002,1.0,0.37932363617080217,0.24449658788508083,0.2751776687182324,0.3396368443131592
collected_kg_per_cap,0.5342314292434343,-0.0216424485241732,0.37932363617080217,1.0,0.9619610800088743,0.9871157266852846,0.977828371400419
recycled_kg_per_cap,0.4038253486292546,0.06365388903447756,0.24449658788508083,0.9619610800088743,1.0,0.9696706181674216,0.9624914096322288
treatment_kg_per_cap,0.5380547198171658,-0.016244320108322056,0.2751776687182324,0.9871157266852846,0.9696706181674216,1.0,0.9753175478569535
recovered_kg_per_cap,0.4748337983512127,-0.01429162960054208,0.3396368443131592,0.977828371400419,0.9624914096322288,0.9753175478569535,1.0
