,sum_sq,df,F,PR(>F)
log_gdp,16375.081573297664,1.0,231.1962392573957,2.6860147162250777e-40
log_population,2149.6874314092474,1.0,30.350972451407547,7.075344518456793e-08
Residual,24364.70454410388,344.0,,
