,sum_sq,df,F,PR(>F)
log_gdp,19447.878111050282,1.0,253.35110205995144,3.685631417224054e-43
log_population,1546.3843538391302,1.0,20.145034744474323,9.79697987969391e-06
Residual,26483.081753971008,345.0,,
