,sum_sq,df,F,PR(>F)
log_gdp,2594.338756077997,1.0,33.355189552317135,1.5265583188915457e-06
log_population,1120.4733737340284,1.0,14.405829493802306,0.0005616280245639193
Residual,2722.2707375207233,35.0,,
