,sum_sq,df,F,PR(>F)
log_gdp,19665.413466332448,1.0,253.8779078765384,3.1646549969021653e-43
log_population,1599.2246680211063,1.0,20.645780656320447,7.652745226038147e-06
Residual,26723.741749061723,345.0,,
