,sum_sq,df,F,PR(>F)
log_gdp,2129.138762280708,1.0,42.06566955962439,1.5109328286382463e-09
log_population,492.0973110638099,1.0,9.722430141761121,0.002222118394597338
Residual,6883.591173076334,136.0,,
